STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407981987 GHz,
TABLE,Region multMatPtrVet,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,10922
CPU_CLK_UNHALTED_CORE,FIXC1,14933
CPU_CLK_UNHALTED_REF,FIXC2,13632
L2_TRANS_ALL_REQUESTS,PMC0,2137
L2_RQSTS_MISS,PMC1,625
TABLE,Region multMatPtrVet,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],9.565763e-07,
Runtime unhalted [s],4.381772e-06,
Clock [MHz],3733.2303,
CPI,1.3672,
L2 request rate,0.1957,
L2 miss rate,0.0572,
L2 miss ratio,0.2925,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407981987 GHz,
TABLE,Region multMatRowVet,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,10893
CPU_CLK_UNHALTED_CORE,FIXC1,12636
CPU_CLK_UNHALTED_REF,FIXC2,11502
L2_TRANS_ALL_REQUESTS,PMC0,2044
L2_RQSTS_MISS,PMC1,602
TABLE,Region multMatRowVet,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],8.679610e-07,
Runtime unhalted [s],3.707766e-06,
Clock [MHz],3743.9802,
CPI,1.1600,
L2 request rate,0.1876,
L2 miss rate,0.0553,
L2 miss ratio,0.2945,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407981987 GHz,
TABLE,Region multMatColVet,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,11949
CPU_CLK_UNHALTED_CORE,FIXC1,13070
CPU_CLK_UNHALTED_REF,FIXC2,11360
L2_TRANS_ALL_REQUESTS,PMC0,1992
L2_RQSTS_MISS,PMC1,546
TABLE,Region multMatColVet,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],1.041084e-06,
Runtime unhalted [s],3.835114e-06,
Clock [MHz],3920.9793,
CPI,1.0938,
L2 request rate,0.1667,
L2 miss rate,0.0457,
L2 miss ratio,0.2741,
