STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407506584 GHz,
TABLE,Region multMatPtrVet,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,10922
CPU_CLK_UNHALTED_CORE,FIXC1,15863
CPU_CLK_UNHALTED_REF,FIXC2,14910
L2_LINES_IN_ALL,PMC0,675
L2_TRANS_L2_WB,PMC1,72
TABLE,Region multMatPtrVet,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],8.709448e-07,
Runtime unhalted [s],4.655310e-06,
Clock [MHz],3625.3036,
CPI,1.4524,
L3 load bandwidth [MBytes/s],49601.3065,
L3 load data volume [GBytes],4.320000e-05,
L3 evict bandwidth [MBytes/s],5290.8060,
L3 evict data volume [GBytes],4.608000e-06,
L3 bandwidth [MBytes/s],54892.1126,
L3 data volume [GBytes],4.780800e-05,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407506584 GHz,
TABLE,Region multMatRowVet,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,10893
CPU_CLK_UNHALTED_CORE,FIXC1,12258
CPU_CLK_UNHALTED_REF,FIXC2,11076
L2_LINES_IN_ALL,PMC0,574
L2_TRANS_L2_WB,PMC1,52
TABLE,Region multMatRowVet,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],9.466537e-07,
Runtime unhalted [s],3.597352e-06,
Clock [MHz],3771.1462,
CPI,1.1253,
L3 load bandwidth [MBytes/s],38806.1653,
L3 load data volume [GBytes],3.673600e-05,
L3 evict bandwidth [MBytes/s],3515.5411,
L3 evict data volume [GBytes],3.328000e-06,
L3 bandwidth [MBytes/s],42321.7064,
L3 data volume [GBytes],4.006400e-05,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407506584 GHz,
TABLE,Region multMatColVet,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,11949
CPU_CLK_UNHALTED_CORE,FIXC1,12570
CPU_CLK_UNHALTED_REF,FIXC2,11644
L2_LINES_IN_ALL,PMC0,591
L2_TRANS_L2_WB,PMC1,63
TABLE,Region multMatColVet,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],1.034100e-06,
Runtime unhalted [s],3.688914e-06,
Clock [MHz],3678.4917,
CPI,1.0520,
L3 load bandwidth [MBytes/s],36576.7334,
L3 load data volume [GBytes],3.782400e-05,
L3 evict bandwidth [MBytes/s],3899.0426,
L3 evict data volume [GBytes],4.032000e-06,
L3 bandwidth [MBytes/s],40475.7760,
L3 data volume [GBytes],4.185600e-05,
